Country Code,Country Name,National Client Identifier,Format of the Identifier,Potential Source of the Information
RO,Romania,"National Identification Number
(Cod Numeric Personal)","The Romanian National ID (Cod Numeric Personal, CNP) consists of 13 digits and is created by using the gender of the citizen and century (1 digit, 1/3/5/7 for men, 2/4/6/8 for women and 9 for foreign citizens), date of birth (6 digits, YYMMDD), the place of birth (2 digits,), followed by a serial number (3 digits) and 1 control digit, at the end.
The first digit encodes the person's gender as follows:
1 Male born between 1900 and 1999
2 Female born between 1900 and 1999
3 Male born between 1800 and 1899
4 Female born between 1800 and 1899
5 Male born after 2000
6 Female born after 2000
7 Male, foreign citizen, RO resident
8 Female, foreign citizen, RO resident
9 Foreign citizen","The CNP is a unique identifying number, assigned to for each person at birth and is inscribed on Birth Certificate, Identity Card and Driving License."
RO,Romania,National Passport Number,The Romanian Passport Number consists of 9 digits.,Romanian National Passport
RO,Romania,CONCAT,,
SE,Sweden,Personal identity number,"Personal identity number: 12 digits numerical in the format CCYYMMDDZZZQ
CCYYMMDD is the date of birth, ZZZ the individual serial number, and Q is the control character (calculated with Luhn-algoritm). The individual number ZZZ is odd for males and even for females. CC is century, YY year, MM month and DD day.

NB! The 12 digits numerical format is used, as the official 10 digits numerical format of the personal identity number includes a separator (YYMMDD-ZZZQ or YYMMDD+ZZZQ if the person has turned 100) which severely complicates data processing and storage.","Personal code identity number is used for unique personal identification. This number, in its official 10 digits numerical format (i.e. excluding the CC for century and including a separator), is written on or into various personal documents such as passports, health care cards, and driver's licenses."
SE,Sweden,CONCAT,,
SI,Slovenia,"Personal Identification Number
(EMŠO: Enotna Matična Številka Občana)","It consists of 13 digits. The first 7 numbers represent the date of birth of the person - DDMMYYY. Digits 8 and 9 represent the number of a register where EMŠO was assigned:
• 10-19 – Bosnia and Hercegovina (if signed in before 18 February 1999)
• 20-29 – Montenegro (if signed in before 18 February 1999)
• 30-39 – Croatia (if signed in before 18 February 1999)
• 40-49 – Macedonia (if signed in before 18 February 1999)
• 50-59 – Slovenia (if signed in before 18 February 1999, if later number 50 is used)
• 60-69 – (not in use)
• 70-79 – Serbia (if signed in before 18 February 1999)
• 80-89 – Autonomous Province of Vojvodina (if signed in before 18 February 1999)
• 90-99 – Kosovo (if signed in before 18 February 1999)).
Digit 10, 11 and 12 are a combination of gender and serial number for persons, born on the same day (000-499 for male and 500-999 for female). Number 13 is a control number and is calculated by a special procedure, defined in Article 4 of the Regulation on the way of assigning the personal identification number (Nos. no. 8/99).","Slovenian Personal Identity Card
Slovenian National Passport"
SI,Slovenia,CONCAT,,
SK,Slovakia,"Personal number
(Rodné číslo)","The Personal Number consist of ten digits in the form YYMMDDCCCX. The first part is created from the date of birth (differently for male and female): YY - the last 2 digits of the year of birth; MM - month of birth for male (01 -12), month of birth plus 50 for female (51-62); DD - day of birth; CCC- number distinguishing persons born on the same date; X - check digit. The Person Number must be divisible by 11.","It is printed on a birth certificate (paper), national ID card (laminated or plastic card), drivers licence (laminated or plastic card), and possibly other documents.

Citizens can have two passports and this code can only be found on the first one."
SK,Slovakia,National Passport Number,It is issued in the format XXNNNNNNN. It is a 9-digit unique code where XX are block letters and NNNNNNN are numbers. It has a validity of 10 years.,
SK,Slovakia,CONCAT,,
